id,keyword,location,text,target,text_length,word_count,clean_text,clean_text_length,clean_word_count
31,ablaze,"Washington, DC","Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,139,16,marivan kurdistan province monday jan protester set propaganda banner qassemsoleimani ablaze,92,11
32,ablaze,India,How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,111,20,turn blind eye icident setting ablaze house,43,7
33,ablaze,"Salta, Argentina","This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,140,23,love completely crazy fucking dream ripped like torn jean not,61,10
34,accident,Wherever socks go in the dryer,Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,139,23,term demon burning dark ruined people cannot use magic interact without harm,76,12
35,accident,Kuala Lumpur,"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,124,19,heartfelt appreciation prime minister yab tun wife yabhg tun siti hasmah mohd ali,81,13
36,accident,,"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,125,21,watch former akhilesh yadav went meet injured kannauj accident hospital chhibramau asks emergency med,101,14
37,accident,"Sydney, New South Wales",❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,112,17,gave everything horrible foot infection wore one thong,54,8
38,accident,Nigeria,"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,97,18,yeah new swag point since accident like totally transformed bob,63,10
39,accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,127,19,cool day git push origin current branch name know,49,9
40,accident,"Lyndhurst, OH",#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,119,15,preorder newrelease today witness connected investigating thenutcrackerconspiracy died either,93,9
41,accident,"Covina, Ca",my back and neck are still fucked up from the accident 😡😡😭😭,0,59,12,back neck still fucked accident,31,5
42,accident,"Colorado, Brighton",RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,117,16,prince harry confirmed mother princess diana death not accident,63,9
43,accident,,Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0,122,22,note democrat not muslim ban islam not race soleimani terrorist exterminated not assas,86,13
44,accident,"North Carolina, USA",Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0,101,18,juwan johnson oregon one big dude look like tight end stuck receiver group accident,83,14
45,accident,kurger bing,More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0,119,24,appearance man upside face new year eve party air force base man,64,12
46,accident,"Faridabad, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,126,22,speeding car rammed group people returning attending temple festival ayyappan kavu thum,87,12
47,accident,60,My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,123,24,friend army lost father accident mom right still unconscious please pray,72,11
48,accident,ngovhela Mahunguni,MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,67,8,mlindo vocalist another car accident,36,5
49,accident,,"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0,126,20,greater treasure highest human quality compassion courage hope not even tragic accide,85,12
50,accident,Germany,Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,110,20,please help friend non fault accident resulted vehicle writte,61,9
51,accident,"South Beach, FL",When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0,72,9,hurt younger sibling accident,29,4
52,accident,"London, United Kingdom",David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,121,17,david cameron decision hold referendum expressed medium road traffic accident,77,10
53,accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,139,23,auto accident injury set process motion get complicated find long take settle,77,12
54,accident,"England, UK ",no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0,126,25,one right call baby accident called blessing used loveliest word describe,73,11
55,accident,"Melbourne, Australia",I actually posted this by accident to twitter but have decided this can stay,0,76,14,actually posted accident twitter decided stay,45,6
56,accident,"Pearland, TX",Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,126,22,question let say happily married husband dy tragic accident deveststed pussy not,80,12
57,accident,Africa,The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,127,17,kampala metropolitan east custody two suspect allegedly strangled death passenger,81,10
58,accident,"California, USA","In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0,119,20,completely available public information fire mostly started human purpose accident,82,10
59,accident,,During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0,129,23,phd colleague went way bully cause work discomfort,50,8
60,accident,"Kerala, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,140,21,speeding car rammed group people returning attending temple festival ayyappan,77,10
61,accident,"Staffordshire,England","6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0,121,26,old bella need new home due incident accident live older kid right,66,12
62,accident,,"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0,128,18,look shit need little as whooped hit somebody accident lecheminduroi bransoncognac starzge,90,12
63,accident,"Port Harcourt, Nigeria",You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,140,21,not accident earth god divinely crafted masterpiece designed destiny,68,9
64,accident,,Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,139,21,iran say shot ukraine international flight accident picture aircraft,68,9
65,accident,Everywhere,Saw this truck with the container almost falling off this morning. Reported…,1,76,12,saw truck container almost falling morning reported,51,7
66,accident,"Ann Arbor, MI",Judge less smile more. It isn’t the oldest profession by accident lol,0,69,12,judge less smile oldest profession accident lol,47,7
67,aftershock,Global,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,82,11,puerto rico hit another magnitude aftershock kyma,49,7
68,aftershock,"Puerto Rico, USA",3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,140,26,aftershock asleep movement bed woke not scary wish not,54,9
69,aftershock,In the mind of haters.,"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,118,21,good night friend per usgs new quake morning caused day aftershock forecast change,82,13
70,aftershock,Czech Republic,Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,111,21,yea wasnt long killed like second not sure would,48,9
71,aftershock,USA,Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0,127,21,honored essay aftershock marking anniversary alvin toffler future shock compendium essay,88,11
72,aftershock,,TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0,85,8,ticket sale aftershock nowplaying hdradio,41,5
73,aftershock,"Bay Area, CA",Come with us to Aftershock!,0,27,5,come aftershock,15,2
74,aftershock,"Great Southwest, U.S.A.",o_O ! I think I felt your aftershock,0,36,8,think felt aftershock,21,3
75,aftershock,"Katowice, Poland",A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,121,19,quick comparison ongoing puerto rico earthquake sequence central california sequenc,83,10
76,aftershock,,"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,123,22,puerto ricans refusing home aside aftershock ground southwest puerto rico,73,10
77,aftershock,Toronto,2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0,106,19,inception social network easy black swan toy story kid right aftershock,71,11
78,aftershock,Texas,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,82,11,puerto rico hit another magnitude aftershock kyma,49,7
79,aftershock,são paulo -sp,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,82,11,puerto rico hit another magnitude aftershock kyma,49,7
80,aftershock,"  Philippines ,From America",A other Hard hit https://t.co/x3e2mf6DKo,0,40,5,hard hit,8,2
81,aftershock,Islamabad,"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,104,16,musharaf verdict mild aftershock extension one not worry come extention,71,10
82,aftershock,"Flatbush, Brooklyn",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,82,11,puerto rico hit another magnitude aftershock kyma,49,7
83,aftershock,"Surabaya, Indonesia",Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,128,14,kumera yellow aftershock fossil featured bankbtn good living magazine photography stylist shino,95,12
84,aftershock,,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,82,11,puerto rico hit another magnitude aftershock kyma,49,7
85,aftershock,NYC,Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0,56,5,please pray puertorico,22,3
86,aftershock,ethers,Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,82,11,puerto rico hit another magnitude aftershock kyma,49,7
87,aftershock,"Ковров, Россия",И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0,62,7,yakov,5,1
88,aftershock,"Planet Eyal, Shandral System",Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,107,13,darkake yeek possessor killed possession aftershock ritches tunnel,66,8
89,aftershock,,Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0,124,21,check latest video superzero vol closer look closer look superzero vol,70,11
90,aftershock,,Might be a small aftershock. I didn't feel anything,0,51,9,might small aftershock not feel anything,40,6
91,aftershock,"Brooklyn, NY","Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,139,19,stay informed stay engaged whats going puertorico earthquake usgs day aftershock,80,11
92,aftershock,,This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0,76,12,isnt good feel people puerto rico,33,6
93,aftershock,"Melbourne, Victoria","Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,90,11,aftershock vapor pro review aussie aussie aussie powerupau,58,8
94,aftershock,,Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0,99,12,puerto rico worker explains earthquake aftershock pleading viral via,68,9
95,aftershock,Piscataway land // DC,this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,119,21,unfathomable number lived large earthquake slept table one terrible night,73,10
96,aftershock,DEPRESSED VIBES,nah I need calm down 💀 https://t.co/eOKphShN5R,0,46,7,nah need calm,13,3
97,aftershock,,thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,86,15,thinking spat blood marilyn manson set aftershock,49,7
98,aftershock,,"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0,124,23,two quake magnitude cannot say one preshock aftershock one obv,62,10
99,aftershock,,"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,123,24,aftershock happens within day main shock predict say,52,8
100,aftershock,,I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0,124,23,not think silivri aftershock silivri month ago quake professor always say nonsen,80,12
101,aftershock,"Bum Fuck, California",I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0,76,13,think aftershock lyrical beat brent never recovered,51,7
102,aftershock,,Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0,124,17,apex separating monarch separation well theory mechagod,55,7
103,aftershock,"fresno, ca",thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,86,15,thinking spat blood marilyn manson set aftershock,49,7
104,aftershock,,Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0,116,24,sending mate simon bar asking guiness ending carlsberg export mint,66,10
105,aftershock,,#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0,130,19,usgs earthquake expert puertorico installing temporary seismometers help track seismic event including jan,106,13
106,aftershock,"Wilmington, NC- USA",Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,82,11,puerto rico hit another magnitude aftershock kyma,49,7
107,aftershock,"Dream big ,NYC , FL\LA✈️✨💼😎","Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,120,21,weekend puerto rico struck aftershock causing damage home school leaving thou,77,11
108,aftershock,DEPRESSED VIBES,How could you leave when I gave you my all 💔,0,44,11,could leave gave,16,3
109,aftershock,,"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0,119,22,full experience start one series food running low save young governor,69,11
110,aftershock,NYC,The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,129,20,magnitude quake puertorico morning caused day aftershock forecast change estimate increased,91,11
111,aftershock,10.28.33N  / 066.57.79W,We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0,130,18,continue update day aftershock forecast scenario puertorico forecast posted english,83,10
112,aftershock,"Texas, USA",Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,122,23,another aftershock hit puerto rico last night people cannot home even one,73,12
113,aftershock,"St Augustine, FL",Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0,112,19,aftershock comic prefer working partnership creator build team ground,69,9
114,aftershock,RVA✈️FLA,Did the other earthquake/aftershock mess up the power again?!,0,61,9,earthquake aftershock mess power,32,4
115,aftershock,PA,Aftershock forecast for Puerto Rico,0,35,5,aftershock forecast puerto rico,31,4
116,airplane%20accident,"California, USA",Like Iran shooting an airplane was an accident,1,46,8,like iran shooting airplane accident,36,5
117,airplane%20accident,,Bing Bong Airplane Accident Remix,0,33,5,bing bong airplane accident remix,33,5
118,airplane%20accident,Inside my head,Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0,140,22,morgan surprised see shaun back work already offer condolence dad shaun say airplan,83,13
119,airplane%20accident,Australia,"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,110,15,load rubbish never imminent threat jesus christ iran sho,56,9
120,airplane%20accident,"Greenwich, CT","Actually, blocking the internet was just an accident. You know, just like when Iran shot down the Ukrainian airplane.",1,117,19,actually blocking internet accident know like iran shot ukrainian airplane,74,10
121,airplane%20accident,"Michigan, USA",Conclusion 8 on previous page is incorrect IMHO. “The witness observations of a streak of light we… https://t.co/tz4Xv7uXCw,0,123,18,conclusion previous page incorrect imho witness observation streak light,72,9
122,airplane%20accident,Iran,"The celebrities in Iran that are very sadly about our compatriots that killed with downing UK airplane,not only di… https://t.co/CtjVwIcH2v",0,139,20,celebrity iran sadly compatriot killed downing airplane not,59,8
123,airplane%20accident,"Virginia, USA",So Iranian radars cannot tell the difference between an incoming missile and an out going Ukrainian airplane? What… https://t.co/hoeEJEUIHE,1,139,19,iranian radar cannot tell difference incoming missile going ukrainian airplane,78,10
124,airplane%20accident,West coast True north  i stan juggalos,"Had a look at your timeline, i see you hate my coun… https://t.co/30cMQ9gsPj",0,76,13,look timeline see hate coun,27,5
125,airplane%20accident,,"MILITARY MISTAKES, 1988 US-MILITARY SHOT DOWN AN IRANIAN PASSENGER AIRPLANE! 2020 IRANIAN MILITARY SHOT DOWN AN UKR… https://t.co/177gbnqiHt",1,140,18,military mistake military shot iranian passenger airplane iranian military shot ukr,83,11
126,airplane%20accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airplane U…,1,116,19,secret anti spying service middle east high alert demolition commercial airplane,80,11
127,airplane%20accident,هرجا که دلت باشد,"My friend i live here , believe me... Its our basic rights that know what happened… https://t.co/49nbXHuTfP",0,107,17,friend live believe basic right know happened,45,7
128,airplane%20accident,,Secret anti-spying services in the Middle East should be on high alert. The demolition of the commercial airpl… https://t.co/9pZViFDPkv,1,135,19,secret anti spying service middle east high alert demolition commercial airpl,77,11
129,airplane%20accident,,How is it that Iran fired between 12 and 20 surface to surface missiles...…..then FIRED A SURFACE TO AIR MISSILE AT… https://t.co/mpkttFCAFB,0,140,22,iran fired surface surface missile fired surface air missile,60,9
130,airplane%20accident,,"Basically, you killed the general, put the whole country into a confusing status, they shoot a civ… https://t.co/P1lKrqhP1Y",0,123,18,basically killed general put whole country confusing status shoot civ,69,10
131,airplane%20accident,GOV of Georgia♥️ Janny Cares,"No, I was referring to the shooting down of the airplane. I really do…",0,70,14,referring shooting airplane really,34,4
132,airplane%20accident,"Saskatchewan, Canada","No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR",0,84,13,referring shooting airplane,27,3
133,airplane%20accident,Canada,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000 fee…,0,98,18,anyone belief incident accident idiot airplane approx fee,57,8
134,airplane%20accident,,And anyone who believes that incident was an accident is an idiot. An airplane at approx 3000… https://t.co/axT3omjmE1,0,118,18,anyone belief incident accident idiot airplane approx,53,7
135,airplane%20accident,"Port Charlotte, FL","Iran did not blow up an airplane by accident, they intended for it to be shot down! The accident is that it was a civilian aircraft!",1,132,26,iran not blow airplane accident intended shot accident civilian aircraft,72,10
136,airplane%20accident,artemis,But... The airplane accident...,1,31,4,airplane accident,17,2
137,airplane%20accident,,"Mr M u hold p.Trump accountable for the airplane accident.we r very sad too,but pls don’t tweet abo… https://t.co/cqsMfVTLMW",0,124,19,hold trump accountable airplane accident sad pls tweet abo,58,9
138,airplane%20accident,Nigeria,"Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, kidnap,…",0,120,21,dial toll free phone event wish report fire flood theft armed robbery kidnap,76,13
139,airplane%20accident,"Ilawe-Ekiti, Nigeria","Just dial 112 toll-free from your phone in the event that you wish to report fire, flood, theft, armed robbery, k… https://t.co/1e2jgI6C8Q",0,138,22,dial toll free phone event wish report fire flood theft armed robbery,69,12
140,airplane%20accident,Florida,So Iran can shoot down a commercial airplane and claim it was an accident. Does ANYONE really believe that?!!! 😡😡😡😡,1,115,20,iran shoot commercial airplane claim accident anyone really believe,67,9
141,airplane%20accident,Calgary AB,You may be unaware that CND is currently in mourning. 57 Canadians were downed in an airplane by accident in Iran. Flag…,1,120,22,may unaware cnd currently mourning canadian downed airplane accident iran flag,78,11
142,airplane%20accident,"Saskatchewan, Canada","Sorry for your loss, Iran should never have shot the airplane out of the sky. ‘accident’ they say",0,97,18,sorry loss iran never shot airplane sky accident say,52,9
143,airplane%20accident,"Toronto, Ontario","It wasn't, Iranians knew when takeoff was happening &amp; they knew the airplane manufacturer was American.… https://t.co/9JNbfB0zWH",0,132,17,not iranian knew takeoff happening knew airplane manufacturer american,70,9
144,airplane%20accident,NYC,Mass anti-government protests erupt in Iran after leaders admit to shooting down airliner. Still cannot believe w… https://t.co/dweXwdLBGn,0,138,18,mass anti government protest erupt iran leader admit shooting airliner still cannot believe,91,13
145,airplane%20accident,New England,I read the whole thread. He’s blaming Trump for Iran shooting down an ai… https://t.co/evL7sdNw0Z,0,97,15,read whole thread blaming trump iran shooting,45,7
146,airplane%20accident,Ontario,airplane accident answers. The US designated the Iranian government as terrorists and ha… https://t.co/7a2OgPYNiQ,0,113,14,airplane accident answer designated iranian government terrorist,64,7
147,airplane%20accident,State of Louisiana-great food,"Hey, got some swamp land for sale. You are either naive or just plain stupid! Which is it? Iran downing t… https://t.co/fu3cjJf1q8",0,130,22,hey got swamp land sale either naive plain stupid iran downing,62,11
148,airplane%20accident,"Sachse, Texas","Perhaps prodded by others, Zelensky decides Ukraine has nothing to lose by piling onto Iran. Never seen so many op… https://t.co/bvZj33dZEp",0,139,21,perhaps prodded others zelensky decides ukraine nothing lose piling onto iran never seen many,93,14
149,airplane%20accident,,"As a Canadian, I am very concerned. The airplane that was shot down by accident had 67 Canadians - many of Iranian…",0,115,22,canadian concerned airplane shot accident canadian many iranian,63,8
150,airplane%20accident,Waldo,Shooting an airplane down *by accident* is bullshit. Just like *accidental shootings* of firearms. Especially since… https://t.co/xKEYVGXFiQ,0,140,17,shooting airplane accident bullshit like accidental shooting firearm especially since,85,10
